,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
188,Friedrichsfelde,52.50260738420366,13.51780998628601,ABACUS Tierpark Hotel,52.502148,13.518727,Hotel
189,Friedrichsfelde,52.50260738420366,13.51780998628601,Netto Deutschland - schwarz-gelber Discounter mit dem Scottie,52.504033,13.519572,Supermarket
190,Friedrichsfelde,52.50260738420366,13.51780998628601,ALDI NORD,52.50456306728801,13.51569656120403,Supermarket
191,Friedrichsfelde,52.50260738420366,13.51780998628601,H Criegernweg,52.501231835847264,13.522350775228796,Tram Station
192,Friedrichsfelde,52.50260738420366,13.51780998628601,"H U Friedrichsfelde (Bus 194, 296, 396)",52.505515008184695,13.51243354239812,Bus Stop
193,Friedrichsfelde,52.50260738420366,13.51780998628601,Patagona Restaurant,52.5046129,13.5237485,Cafeteria
194,Friedrichshagen,52.458335285220144,13.636237037495928,FSV Friedrichshagen,52.45603200710355,13.638274083048602,Soccer Field
195,Friedrichshagen,52.458335285220144,13.636237037495928,Spielplatz im Goldmannpark,52.455545,13.632402,Playground
196,Friedrichshain,52.508455001032694,13.451964836104947,Bis auf's Messer,52.50809164204684,13.449486494064331,Record Shop
197,Friedrichshain,52.508455001032694,13.451964836104947,Gin Chilla Bar,52.507896,13.450152,Cocktail Bar
198,Friedrichshain,52.508455001032694,13.451964836104947,Teledisko,52.5075037047128,13.45429386906799,Nightclub
199,Friedrichshain,52.508455001032694,13.451964836104947,Skatehalle Berlin,52.50706000001799,13.454085760666922,Skate Park
200,Friedrichshain,52.508455001032694,13.451964836104947,Oase,52.51049321192495,13.451751232145822,Middle Eastern Restaurant
201,Friedrichshain,52.508455001032694,13.451964836104947,Café µ (mü),52.5097371962965,13.454529047012329,Café
202,Friedrichshain,52.508455001032694,13.451964836104947,Emma Pea,52.50753218597057,13.454606219152527,Vegetarian / Vegan Restaurant
203,Friedrichshain,52.508455001032694,13.451964836104947,Akkawy,52.510422,13.452923,Middle Eastern Restaurant
204,Friedrichshain,52.508455001032694,13.451964836104947,Stilbruch Kaffee,52.508204949332544,13.453355678508208,Coffee Shop
205,Friedrichshain,52.508455001032694,13.451964836104947,Street Art / RAW-Gelände,52.5074160371711,13.45482855501219,Street Art
206,Friedrichshain,52.508455001032694,13.451964836104947,Spielwiese Ludothek,52.510369556796846,13.453952526686175,Gaming Cafe
207,Friedrichshain,52.508455001032694,13.451964836104947,Urban Spree,52.507864295477575,13.451443578451563,Art Gallery
208,Friedrichshain,52.508455001032694,13.451964836104947,Veganz,52.50766365109747,13.449979724699784,Grocery Store
209,Friedrichshain,52.508455001032694,13.451964836104947,Trattoria Libau,52.50848657934147,13.452856007540467,Trattoria/Osteria
210,Friedrichshain,52.508455001032694,13.451964836104947,Fitcher’s Vogel,52.510390552236196,13.45136783616273,Bar
211,Friedrichshain,52.508455001032694,13.451964836104947,Mustafa Demir’s Gemüse Kebap,52.50990581118968,13.451373807572534,Doner Restaurant
212,Friedrichshain,52.508455001032694,13.451964836104947,Secret Garden,52.507793,13.449994,Vegetarian / Vegan Restaurant
213,Friedrichshain,52.508455001032694,13.451964836104947,Der Kegel,52.5072865844647,13.454390496514028,Climbing Gym
214,Friedrichshain,52.508455001032694,13.451964836104947,Big Brobot,52.51008140865916,13.455245426906064,Bookstore
215,Friedrichshain,52.508455001032694,13.451964836104947,Pizza Vira,52.51110067963582,13.452019284539272,Italian Restaurant
216,Friedrichshain,52.508455001032694,13.451964836104947,Weinladen,52.510110483703585,13.456299380076851,Wine Shop
217,Friedrichshain,52.508455001032694,13.451964836104947,Mutzenbacher Schnitzelpuff,52.50846017500125,13.452845800042214,Austrian Restaurant
218,Friedrichshain,52.508455001032694,13.451964836104947,Wahrhaft Nahrhaft,52.50756866577607,13.456440650580317,Bagel Shop
219,Friedrichshain,52.508455001032694,13.451964836104947,noisy Rooms,52.511428933548935,13.453364689238875,Performing Arts Venue
220,Friedrichshain,52.508455001032694,13.451964836104947,dm-drogerie markt,52.508939,13.450295,Drugstore
221,Friedrichshain,52.508455001032694,13.451964836104947,Astra Kulturhaus,52.507224219612304,13.451788679881309,Rock Club
222,Friedrichshain,52.508455001032694,13.451964836104947,goodies,52.51145451459145,13.452469110488892,Vegetarian / Vegan Restaurant
223,Friedrichshain,52.508455001032694,13.451964836104947,Sunflower Hostel,52.509633651953195,13.446248642732158,Hostel
224,Friedrichshain,52.508455001032694,13.451964836104947,V Vintage Fashion,52.510012,13.455918,Thrift / Vintage Store
225,Friedrichshain,52.508455001032694,13.451964836104947,BABO SUSHI,52.50990207482437,13.451967537403107,Sushi Restaurant
226,Friedrichshain,52.508455001032694,13.451964836104947,New Arirang,52.511344,13.45162,Korean Restaurant
227,Friedrichshain,52.508455001032694,13.451964836104947,Hirsch,52.51098599097212,13.45048149796056,Pub
228,Friedrichshain,52.508455001032694,13.451964836104947,Ali Baba,52.510716796399265,13.457534689434333,Middle Eastern Restaurant
229,Friedrichshain,52.508455001032694,13.451964836104947,Shakespeare and Sons,52.512636356259506,13.453112840652466,Bookstore
230,Friedrichshain,52.508455001032694,13.451964836104947,Aprilkind,52.50964573321377,13.456113773987466,Coffee Shop
231,Friedrichshain,52.508455001032694,13.451964836104947,Schneeweiß,52.50863483334405,13.458412915698691,German Restaurant
232,Friedrichshain,52.508455001032694,13.451964836104947,Il Ritrovo,52.509574917010404,13.457946529386877,Pizza Place
233,Friedrichshain,52.508455001032694,13.451964836104947,Melt,52.51226770825317,13.453911336470677,Creperie
234,Friedrichshain,52.508455001032694,13.451964836104947,Kiez Hostel Berlin,52.50984960489462,13.447431592103285,Hostel
235,Friedrichshain,52.508455001032694,13.451964836104947,Patta Finest Baked Potatoes,52.510692,13.457398,Kumpir Restaurant
